Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
Hurra C,39.118975005321374,MEDIUM,60.0,Moderate,50.0,Operational Only,LOW,39.118975005321374,Low risk indicator (risk score 39.12); no immediate high-risk indicator detected.,Monitoring and Review Required
"Indaram Khani-1A, Incline",11.71111644361408,LOW,60.0,Moderate,50.0,Operational Only,LOW,11.71111644361408,Low risk indicator (risk score 11.71); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Indaram Khani-OC,11.71111644361408,LOW,60.0,Moderate,50.0,Operational Only,LOW,11.71111644361408,Low risk indicator (risk score 11.71); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Int. Lakhanpur-Belpahar-Lilari OCP,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Itapara OC Patch,7.13399920413648,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.13399920413648,Low risk indicator (risk score 7.13); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
J. K. Nagar Colliery,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jaganathpur,8.765460680364663,LOW,60.0,Moderate,50.0,Operational Only,LOW,8.765460680364663,Low risk indicator (risk score 8.77); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jagannath Re-org OCP,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Jalagam Vengala Rao OC-2,20.810506047410986,LOW,60.0,Moderate,50.0,Operational Only,LOW,20.810506047410986,Low risk indicator (risk score 20.81); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jalipa,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Jamadoba Colliery,8.579404648182038,LOW,60.0,Moderate,50.0,Operational Only,LOW,8.579404648182038,Low risk indicator (risk score 8.58); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jambad OCP,7.61580101881833,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.61580101881833,Low risk indicator (risk score 7.62); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jambad UG Colliery,5.688593760090923,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.688593760090923,Low risk indicator (risk score 5.69); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jamkhani Coal Mine,29.723839619025245,LOW,60.0,Moderate,50.0,Operational Only,LOW,29.723839619025245,Low risk indicator (risk score 29.72); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jampali,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jamuna 9 & 10 Jamuna RO,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Jarangdih OC,9.72906430972836,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.72906430972836,Low risk indicator (risk score 9.73); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
"Jawahar Khani OC-5,",17.251837312455383,LOW,60.0,Moderate,50.0,Operational Only,LOW,17.251837312455383,Low risk indicator (risk score 17.25); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jayant Project,75.49501201380124,HIGH,60.0,Moderate,50.0,Operational Only,HIGH,75.49501201380124,High risk indicator detected (risk score 75.50). Further assessment should be prioritized.,Further Assessment Required
Jhanjra Project Colliery,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Jharkhand OCP,4.00228740870444,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.00228740870444,Low risk indicator (risk score 4.00); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jhilimili Colliery,3.5204855940225848,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.5204855940225848,Low risk indicator (risk score 3.52); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jhingurda Project,2.79778287199981,LOW,60.0,Moderate,50.0,Operational Only,LOW,2.79778287199981,Low risk indicator (risk score 2.80); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jhiria,4.002287408704437,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.002287408704437,Low risk indicator (risk score 4.00); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jitpur Colliery,4.484089223386293,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.484089223386293,Low risk indicator (risk score 4.48); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Jogidih,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Joyrampur,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
"Junad,",9.06120646286389,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.06120646286389,Low risk indicator (risk score 9.06); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
