Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
KARO_I_OC,Karo-I OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,1.318,0
KASIPET_1_INCLINE,Kasipet 1 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,0.146,0
KASIPET_2_INCLINE,Kasipet 2 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,0.097,0
KATHARA_COLLY,Kathara Colly,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Opencast,PUBLIC,0.419,0
KATHAUTIA_OPEN_CAST_COAL_MINE,Kathautia Open Cast Coal Mine,HIL,Jharkhand,PALAMU,Daltonganj,Kathautia,Opencast,PRIVATE,0.183,0
KATKONA_1_2,Katkona 1 & 2,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,0.216,0
KEDLA_OC,Kedla (OC),CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Opencast,PUBLIC,0.0,0
KEDLA_UG,Kedla UG,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Underground,PUBLIC,0.0,0
KERANDARI,Kerandari,NTPC,Jharkhand,HAZARIBAGH,North Karanpura,Keredari,Opencast,PUBLIC,0.235,0
KETKI,Ketki,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,0.028,0
KHADIA_PROJECT,Khadia Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Khadia,Opencast,PUBLIC,5.563,0
KHAIRAGURA_OC,Khairagura OC,SCCL,Telangana,Komaram Bheem,Godavari Valley,Belampalli,Opencast,PUBLIC,3.749,0
