Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
Production,Mahan OC,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.6558,0.0266,Yes,Unmatched
Production,Maheshpur,BCCL,Jharkhand,Maheshpur,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4667,Yes,Matched_Review
Production,Makardhokra-I,WCL,Maharashtra,,,,,,,,,Unmatched,0.6602,0.0008,Yes,Unmatched
Production,Makardhokra-I OC Expansion Mine,WCL,Maharashtra,Makardhokra-I OC Expansion Mine,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.2333,Yes,Matched_Review
Production,Makardhokra-III,WCL,Maharashtra,Makardhokra-III OC MINE,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,Possible,0.7716,0.151,Yes,Matched_Review
Production,Makardhokra-III OC MINE,WCL,Maharashtra,Makardhokra-III OC MINE,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.2333,Yes,Matched_Review
Production,Malga,SECL,Madhya Pradesh,,,,,,,,,Unmatched,0.5291,0.0191,Yes,Unmatched
Production,Mandarboni,ECL,West Bengal,Mandarboni,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4667,Yes,Matched_Review
Production,Mandarboni & South Samla,ECL,West Bengal,Mandarboni,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,Possible,0.7631,0.1231,Yes,Matched_Review
Production,Manikpur,SECL,Chhattisgarh,Manikpur,SECL,Chhattisgarh,KORBA,Central India,Korba,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.4789,Yes,Matched_Review
Production,Manki/Churi,CCL,Jharkhand,Manki/Churi,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.5133,Yes,Matched_Review
Production,Manna Incline,WCL,Maharashtra,Manna Incline,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.288,Yes,Matched_Review
